team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Manchesters Super Giants Women,Sunrisers Leeds Women,70.0,60.0,0.0,4,2,50.0,33.33333333333333,126.4,132.2,6.0,5.6,143.0,0.0,Sunrisers Leeds Women,Bat,16.9,82.0,85.0,Headingley,Balanced,0
Birmingham Phoenix Women,MI London Women,20.0,20.0,0.0,0,3,20.0,100.0,103.4,121.0,8.4,5.8,68.0,100.0,Birmingham Phoenix Women,Bowl,19.0,69.0,80.0,Edgbaston,Balanced,1
Welsh Fire Women,Trent Rockets Women,20.0,70.0,0.0,3,2,30.0,75.0,122.8,143.8,7.2,6.2,144.0,100.0,Welsh Fire Women,Bat,19.0,77.0,64.0,Sophia Gardens,Balanced,0
MI London Women,London Spirit Women,20.0,40.0,0.0,3,2,20.0,50.0,116.8,102.6,6.4,5.4,104.0,50.0,Mi London Women,Bowl,23.8,48.0,5.0,Kennington Oval,Balanced,1
Southern Brave Women,Birmingham Phoenix Women,90.0,20.0,100.0,4,0,70.0,0.0,132.8,109.0,6.6,7.6,100.0,0.0,Southern Brave Women,Bat,22.9,60.0,1.0,The Rose Bowl,Balanced,0
Manchesters Super Giants Women,Trent Rockets Women,70.0,60.0,0.0,1,2,30.0,66.66666666666666,166.2,126.6,5.4,6.0,134.0,100.0,Manchesters Super Giants Women,Bat,20.3,66.0,3.0,Trent Bridge,Balanced,0
London Spirit Women,Sunrisers Leeds Women,40.0,70.0,50.0,2,4,40.0,60.0,101.8,124.4,6.8,4.8,114.0,100.0,Sunrisers Leeds Women,Bowl,21.9,74.0,86.0,Lords,Balanced,1
Trent Rockets Women,Birmingham Phoenix Women,70.0,20.0,25.0,2,0,30.0,50.0,126.4,118.4,5.0,7.2,120.0,50.0,Trent Rockets Women,Bat,21.5,66.0,49.0,Trent Bridge,Balanced,0
Southern Brave Women,MI London Women,90.0,20.0,50.0,4,2,70.0,0.0,127.8,115.2,6.2,7.4,116.0,0.0,Mi London Women,Bat,19.9,76.0,1.0,The Rose Bowl,Balanced,0
Manchesters Super Giants Women,Sunrisers Leeds Women,60.0,70.0,0.0,1,4,20.0,0.0,112.0,129.2,6.4,5.4,87.0,0.0,Sunrisers Leeds Women,Bat,21.3,59.0,55.0,Emirates Old Trafford,Balanced,0
Welsh Fire Women,London Spirit Women,20.0,40.0,0.0,4,2,30.0,66.66666666666666,139.0,112.8,6.2,6.2,162.0,50.0,Welsh Fire Women,Bowl,20.9,74.0,84.0,Sophia Gardens,Balanced,0
MI London Women,Trent Rockets Women,20.0,70.0,0.0,2,3,20.0,50.0,125.2,127.2,6.6,4.8,108.0,66.66666666666666,Mi London Women,Bat,23.8,53.0,4.0,Kennington Oval,Balanced,0
Sunrisers Leeds Women,Welsh Fire Women,70.0,20.0,0.0,4,4,50.0,0.0,130.6,140.8,5.4,5.2,143.0,0.0,Sunrisers Leeds Women,Bat,20.8,65.0,80.0,Headingley,Balanced,0
